id,spot_name,type,company,district,countycode,areacode,address,apparatus_name,agency_codes,latitude,longitude
1,水金九-九份(商圈辦公室),NewTaipei,磐石寬頻,瑞芳區,65000,65000120,新北市瑞芳區豎崎路15號,新北市政府觀光旅遊局,382300000H,25.108178,121.843567
2,水金九-水湳洞,NewTaipei,磐石寬頻,瑞芳區,65000,65000120,新北市瑞芳區金光路8號,新北市政府觀光旅遊局,382300000H,25.108416,121.856196
3,水金九-黃金博物館,NewTaipei,磐石寬頻,瑞芳區,65000,65000120,新北市瑞芳區洞頂路155之8號,新北市政府觀光旅遊局,382300000H,25.122478,121.861187
4,新北市政府行政大樓10F-1,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號10樓,新北市政府,382000000A,25.0122139,121.465731
5,新北市政府行政大樓10F-2,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號10樓,新北市政府,382000000A,25.0122139,121.465731
6,新北市政府行政大樓10F-3,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號10樓,新北市政府,382000000A,25.0122139,121.465731
7,新北市政府行政大樓10F-4,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號10樓,新北市政府,382000000A,25.0122139,121.465731
8,新北市政府行政大樓10F-5,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號10樓,新北市政府,382000000A,25.0122139,121.465731
9,新北市政府行政大樓10F-6,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號10樓,新北市政府,382000000A,25.0122139,121.465731
10,新北市政府行政大樓11F-1,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號11樓,新北市政府,382000000A,25.0122139,121.465731
11,新北市政府行政大樓11F-2,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號11樓,新北市政府,382000000A,25.0122139,121.465731
12,新北市政府行政大樓11F-3,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號11樓,新北市政府,382000000A,25.0122139,121.465731
13,新北市政府行政大樓11F-4,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號11樓,新北市政府,382000000A,25.0122139,121.465731
14,新北市政府行政大樓11F-5,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號11樓,新北市政府,382000000A,25.0122139,121.465731
15,新北市政府行政大樓11F-6,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號11樓,新北市政府,382000000A,25.0122139,121.465731
16,新北市政府行政大樓12F-1,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號12樓,新北市政府,382000000A,25.0122139,121.465731
17,新北市政府行政大樓12F-2,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號12樓,新北市政府,382000000A,25.0122139,121.465731
18,新北市政府行政大樓12F-3,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號12樓,新北市政府,382000000A,25.0122139,121.465731
19,新北市政府行政大樓12F-4,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號12樓,新北市政府,382000000A,25.0122139,121.465731
20,新北市政府行政大樓12F-5,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號12樓,新北市政府,382000000A,25.0122139,121.465731
21,新北市政府行政大樓12F-6,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號12樓,新北市政府,382000000A,25.0122139,121.465731
22,新北市政府行政大樓12F-7,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號12樓,新北市政府,382000000A,25.0122139,121.465731
23,新北市政府行政大樓13F-1,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號13樓,新北市政府,382000000A,25.0122139,121.465731
24,新北市政府行政大樓13F-2,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號13樓,新北市政府,382000000A,25.0122139,121.465731
25,新北市政府行政大樓13F-3,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號13樓,新北市政府,382000000A,25.0122139,121.465731
26,新北市政府行政大樓13F-4,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號13樓,新北市政府,382000000A,25.0122139,121.465731
27,新北市政府行政大樓13F-5,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號13樓,新北市政府,382000000A,25.0122139,121.465731
28,新北市政府行政大樓13F-6,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號13樓,新北市政府,382000000A,25.0122139,121.465731
29,新北市政府行政大樓13F-7,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號13樓,新北市政府,382000000A,25.0122139,121.465731
30,新北市政府行政大樓14F-1,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號14樓,新北市政府,382000000A,25.0122139,121.465731
31,新北市政府行政大樓14F-2,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號14樓,新北市政府,382000000A,25.0122139,121.465731
32,新北市政府行政大樓14F-3,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號14樓,新北市政府,382000000A,25.0122139,121.465731
33,新北市政府行政大樓14F-4,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號14樓,新北市政府,382000000A,25.0122139,121.465731
34,新北市政府行政大樓14F-5,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號14樓,新北市政府,382000000A,25.0122139,121.465731
35,新北市政府行政大樓14F-6,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號14樓,新北市政府,382000000A,25.0122139,121.465731
36,新北市政府行政大樓14F-7,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號14樓,新北市政府,382000000A,25.0122139,121.465731
37,新北市政府行政大樓15F-1,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號15樓,新北市政府,382000000A,25.0122139,121.465731
38,新北市政府行政大樓15F-2,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號15樓,新北市政府,382000000A,25.0122139,121.465731
39,新北市政府行政大樓15F-3,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號15樓,新北市政府,382000000A,25.0122139,121.465731
40,新北市政府行政大樓15F-4,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號15樓,新北市政府,382000000A,25.0122139,121.465731
41,新北市政府行政大樓15F-5,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號15樓,新北市政府,382000000A,25.0122139,121.465731
42,新北市政府行政大樓15F-6,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號15樓,新北市政府,382000000A,25.0122139,121.465731
43,新北市政府行政大樓15F-7,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號15樓,新北市政府,382000000A,25.0122139,121.465731
44,新北市政府行政大樓16F-1,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號16樓,新北市政府,382000000A,25.0122139,121.465731
45,新北市政府行政大樓16F-2,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號16樓,新北市政府,382000000A,25.0122139,121.465731
46,新北市政府行政大樓16F-3,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號16樓,新北市政府,382000000A,25.0122139,121.465731
47,新北市政府行政大樓16F-4,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號16樓,新北市政府,382000000A,25.0122139,121.465731
48,新北市政府行政大樓16F-5,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號16樓,新北市政府,382000000A,25.0122139,121.465731
49,新北市政府行政大樓16F-6,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號16樓,新北市政府,382000000A,25.0122139,121.465731
50,新北市政府行政大樓16F-7,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號16樓,新北市政府,382000000A,25.0122139,121.465731
51,新北市政府行政大樓16F-8,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號16樓,新北市政府,382000000A,25.0122139,121.465731
52,新北市政府行政大樓16F-9,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號16樓,新北市政府,382000000A,25.0122139,121.465731
53,新北市政府行政大樓17F-1,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號17樓,新北市政府,382000000A,25.0122139,121.465731
54,新北市政府行政大樓17F-2,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號17樓,新北市政府,382000000A,25.0122139,121.465731
55,新北市政府行政大樓17F-3,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號17樓,新北市政府,382000000A,25.0122139,121.465731
56,新北市政府行政大樓17F-4,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號17樓,新北市政府,382000000A,25.0122139,121.465731
57,新北市政府行政大樓17F-5,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號17樓,新北市政府,382000000A,25.0122139,121.465731
58,新北市政府行政大樓17F-6,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號17樓,新北市政府,382000000A,25.0122139,121.465731
59,新北市政府行政大樓17F-7,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號17樓,新北市政府,382000000A,25.0122139,121.465731
60,新北市政府行政大樓18F-1,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號18樓,新北市政府,382000000A,25.0122139,121.465731
61,新北市政府行政大樓18F-2,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號18樓,新北市政府,382000000A,25.0122139,121.465731
62,新北市政府行政大樓18F-3,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號18樓,新北市政府,382000000A,25.0122139,121.465731
63,新北市政府行政大樓18F-4,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號18樓,新北市政府,382000000A,25.0122139,121.465731
64,新北市政府行政大樓18F-5,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號18樓,新北市政府,382000000A,25.0122139,121.465731
65,新北市政府行政大樓18F-6,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號18樓,新北市政府,382000000A,25.0122139,121.465731
66,新北市政府行政大樓18F-7,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號18樓,新北市政府,382000000A,25.0122139,121.465731
67,新北市政府行政大樓18F-8,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號18樓,新北市政府,382000000A,25.0122139,121.465731
68,新北市政府行政大樓18F-9,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號18樓,新北市政府,382000000A,25.0122139,121.465731
69,新北市政府行政大樓18F-10,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號18樓,新北市政府,382000000A,25.0122139,121.465731
70,新北市政府行政大樓19F-1,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號19樓,新北市政府,382000000A,25.0122139,121.465731
71,新北市政府行政大樓19F-2,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號19樓,新北市政府,382000000A,25.0122139,121.465731
72,新北市政府行政大樓19F-3,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號19樓,新北市政府,382000000A,25.0122139,121.465731
73,新北市政府行政大樓19F-4,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號19樓,新北市政府,382000000A,25.0122139,121.465731
74,新北市政府行政大樓19F-5,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號19樓,新北市政府,382000000A,25.0122139,121.465731
75,新北市政府行政大樓19F-6,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號19樓,新北市政府,382000000A,25.0122139,121.465731
76,新北市政府行政大樓19F-7,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號19樓,新北市政府,382000000A,25.0122139,121.465731
77,新北市政府行政大樓1F-1,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號1樓,新北市政府,382000000A,25.0122139,121.465731
78,新北市政府行政大樓1F-10,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號1樓,新北市政府,382000000A,25.0122139,121.465731
79,新北市政府行政大樓1F-11,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號1樓,新北市政府,382000000A,25.0122139,121.465731
80,新北市政府行政大樓1F-2,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號1樓,新北市政府,382000000A,25.0122139,121.465731
81,新北市政府行政大樓1F-3,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號1樓,新北市政府,382000000A,25.0122139,121.465731
82,新北市政府行政大樓1F-4,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號1樓,新北市政府,382000000A,25.0122139,121.465731
83,新北市政府行政大樓1F-5,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號1樓,新北市政府,382000000A,25.0122139,121.465731
84,新北市政府行政大樓1F-6,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號1樓,新北市政府,382000000A,25.0122139,121.465731
85,新北市政府行政大樓1F-7,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號1樓,新北市政府,382000000A,25.0122139,121.465731
86,新北市政府行政大樓1F-8,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號1樓,新北市政府,382000000A,25.0122139,121.465731
87,新北市政府行政大樓1F-9,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號1樓,新北市政府,382000000A,25.0122139,121.465731
88,新北市政府行政大樓20F-1,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號20樓,新北市政府,382000000A,25.0122139,121.465731
89,新北市政府行政大樓20F-2,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號20樓,新北市政府,382000000A,25.0122139,121.465731
90,新北市政府行政大樓21F-1,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號21樓,新北市政府,382000000A,25.0122139,121.465731
91,新北市政府行政大樓21F-2,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號21樓,新北市政府,382000000A,25.0122139,121.465731
92,新北市政府行政大樓21F-3,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號21樓,新北市政府,382000000A,25.0122139,121.465731
93,新北市政府行政大樓21F-4,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號21樓,新北市政府,382000000A,25.0122139,121.465731
94,新北市政府行政大樓21F-5,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號21樓,新北市政府,382000000A,25.0122139,121.465731
95,新北市政府行政大樓21F-6,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號21樓,新北市政府,382000000A,25.0122139,121.465731
96,新北市政府行政大樓21F-7,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號21樓,新北市政府,382000000A,25.0122139,121.465731
97,新北市政府行政大樓22F-1,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號22樓,新北市政府,382000000A,25.0122139,121.465731
98,新北市政府行政大樓22F-2,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號22樓,新北市政府,382000000A,25.0122139,121.465731
99,新北市政府行政大樓22F-3,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號22樓,新北市政府,382000000A,25.0122139,121.465731
100,新北市政府行政大樓22F-4,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號22樓,新北市政府,382000000A,25.0122139,121.465731
101,新北市政府行政大樓22F-5,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號22樓,新北市政府,382000000A,25.0122139,121.465731
102,新北市政府行政大樓22F-6,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號22樓,新北市政府,382000000A,25.0122139,121.465731
103,新北市政府行政大樓22F-7,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號22樓,新北市政府,382000000A,25.0122139,121.465731
104,新北市政府行政大樓23F-1,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號23樓,新北市政府,382000000A,25.0122139,121.465731
105,新北市政府行政大樓23F-2,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號23樓,新北市政府,382000000A,25.0122139,121.465731
106,新北市政府行政大樓23F-3,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號23樓,新北市政府,382000000A,25.0122139,121.465731
107,新北市政府行政大樓23F-4,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號23樓,新北市政府,382000000A,25.0122139,121.465731
108,新北市政府行政大樓23F-5,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號23樓,新北市政府,382000000A,25.0122139,121.465731
109,新北市政府行政大樓23F-6,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號23樓,新北市政府,382000000A,25.0122139,121.465731
110,新北市政府行政大樓24F-1,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號24樓,新北市政府,382000000A,25.0122139,121.465731
111,新北市政府行政大樓24F-2,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號24樓,新北市政府,382000000A,25.0122139,121.465731
112,新北市政府行政大樓24F-3,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號24樓,新北市政府,382000000A,25.0122139,121.465731
113,新北市政府行政大樓24F-4,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號24樓,新北市政府,382000000A,25.0122139,121.465731
114,新北市政府行政大樓24F-5,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號24樓,新北市政府,382000000A,25.0122139,121.465731
115,新北市政府行政大樓24F-6,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號24樓,新北市政府,382000000A,25.0122139,121.465731
116,新北市政府行政大樓25F-1,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號25樓,新北市政府,382000000A,25.0122139,121.465731
117,新北市政府行政大樓25F-2,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號25樓,新北市政府,382000000A,25.0122139,121.465731
118,新北市政府行政大樓25F-3,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號25樓,新北市政府,382000000A,25.0122139,121.465731
119,新北市政府行政大樓25F-4,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號25樓,新北市政府,382000000A,25.0122139,121.465731
120,新北市政府行政大樓25F-5,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號25樓,新北市政府,382000000A,25.0122139,121.465731
121,新北市政府行政大樓25F-6,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號25樓,新北市政府,382000000A,25.0122139,121.465731
122,新北市政府行政大樓26F-1,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號26樓,新北市政府,382000000A,25.0122139,121.465731
123,新北市政府行政大樓26F-2,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號26樓,新北市政府,382000000A,25.0122139,121.465731
124,新北市政府行政大樓26F-3,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號26樓,新北市政府,382000000A,25.0122139,121.465731
125,新北市政府行政大樓26F-4,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號26樓,新北市政府,382000000A,25.0122139,121.465731
126,新北市政府行政大樓26F-5,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號26樓,新北市政府,382000000A,25.0122139,121.465731
127,新北市政府行政大樓26F-6,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號26樓,新北市政府,382000000A,25.0122139,121.465731
128,新北市政府行政大樓27F-1,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號27樓,新北市政府,382000000A,25.0122139,121.465731
129,新北市政府行政大樓27F-2,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號27樓,新北市政府,382000000A,25.0122139,121.465731
130,新北市政府行政大樓27F-3,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號27樓,新北市政府,382000000A,25.0122139,121.465731
131,新北市政府行政大樓27F-4,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號27樓,新北市政府,382000000A,25.0122139,121.465731
132,新北市政府行政大樓27F-5,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號27樓,新北市政府,382000000A,25.0122139,121.465731
133,新北市政府行政大樓28F-1,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號28樓,新北市政府,382000000A,25.0122139,121.465731
134,新北市政府行政大樓28F-2,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號28樓,新北市政府,382000000A,25.0122139,121.465731
135,新北市政府行政大樓28F-3,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號28樓,新北市政府,382000000A,25.0122139,121.465731
136,新北市政府行政大樓28F-4,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號28樓,新北市政府,382000000A,25.0122139,121.465731
137,新北市政府行政大樓28F-5,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號28樓,新北市政府,382000000A,25.0122139,121.465731
138,新北市政府行政大樓29F-1,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號29樓,新北市政府,382000000A,25.0122139,121.465731
139,新北市政府行政大樓29F-2,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號29樓,新北市政府,382000000A,25.0122139,121.465731
140,新北市政府行政大樓29F-3,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號29樓,新北市政府,382000000A,25.0122139,121.465731
141,新北市政府行政大樓29F-4,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號29樓,新北市政府,382000000A,25.0122139,121.465731
142,新北市政府行政大樓29F-5,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號29樓,新北市政府,382000000A,25.0122139,121.465731
143,新北市政府行政大樓2F-1,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號2樓,新北市政府,382000000A,25.0122139,121.465731
144,新北市政府行政大樓2F-10,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號2樓,新北市政府,382000000A,25.0122139,121.465731
145,新北市政府行政大樓2F-11,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號2樓,新北市政府,382000000A,25.0122139,121.465731
146,新北市政府行政大樓2F-2,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號2樓,新北市政府,382000000A,25.0122139,121.465731
147,新北市政府行政大樓2F-3,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號2樓,新北市政府,382000000A,25.0122139,121.465731
148,新北市政府行政大樓2F-4,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號2樓,新北市政府,382000000A,25.0122139,121.465731
149,新北市政府行政大樓2F-5,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號2樓,新北市政府,382000000A,25.0122139,121.465731
150,新北市政府行政大樓2F-6,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號2樓,新北市政府,382000000A,25.0122139,121.465731
151,新北市政府行政大樓2F-7,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號2樓,新北市政府,382000000A,25.0122139,121.465731
152,新北市政府行政大樓2F-8,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號2樓,新北市政府,382000000A,25.0122139,121.465731
153,新北市政府行政大樓2F-9,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號2樓,新北市政府,382000000A,25.0122139,121.465731
154,新北市政府行政大樓30F-1,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號30樓,新北市政府,382000000A,25.0122139,121.465731
155,新北市政府行政大樓30F-2,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號30樓,新北市政府,382000000A,25.0122139,121.465731
156,新北市政府行政大樓30F-3,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號30樓,新北市政府,382000000A,25.0122139,121.465731
157,新北市政府行政大樓30F-4,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號30樓,新北市政府,382000000A,25.0122139,121.465731
158,新北市政府行政大樓32F-1,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號32樓,新北市政府,382000000A,25.0122139,121.465731
159,新北市政府行政大樓32F-2,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號32樓,新北市政府,382000000A,25.0122139,121.465731
160,新北市政府行政大樓3F-1,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號3樓,新北市政府,382000000A,25.0122139,121.465731
161,新北市政府行政大樓3F-2,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號3樓,新北市政府,382000000A,25.0122139,121.465731
162,新北市政府行政大樓3F-3,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號3樓,新北市政府,382000000A,25.0122139,121.465731
163,新北市政府行政大樓3F-4,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號3樓,新北市政府,382000000A,25.0122139,121.465731
164,新北市政府行政大樓3F-5,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號3樓,新北市政府,382000000A,25.0122139,121.465731
165,新北市政府行政大樓3F-6,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號3樓,新北市政府,382000000A,25.0122139,121.465731
166,新北市政府行政大樓3F-7,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號3樓,新北市政府,382000000A,25.0122139,121.465731
167,新北市政府行政大樓3F-8,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號3樓,新北市政府,382000000A,25.0122139,121.465731
168,新北市政府行政大樓3F-9,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號3樓,新北市政府,382000000A,25.0122139,121.465731
169,新北市政府行政大樓3F-10,NewTaipei,大同資訊,板橋區,65000,65000010,新北市板橋區中山路1段161號3樓,新北市政府,382000000A,25.0122139,121.465731
